,Feature,Importance
12,perimeter_worst,0.5687085336124764
13,area_worst,0.09396784562400713
15,concave points_worst,0.0919041729097205
10,radius_worst,0.06430913356831282
11,texture_worst,0.057515988292905516
18,concavity_compactness_ratio,0.04106787724472915
3,area_se,0.027489251256341454
14,smoothness_worst,0.02193328496004012
2,texture_se,0.007431292583899398
4,smoothness_se,0.00599696612161485
1,concavity_mean,0.003997201218714774
6,concavity_se,0.003986523904859965
8,symmetry_se,0.0028206472480388524
5,compactness_se,0.0023761062067177725
9,fractal_dimension_se,0.0019983637526433144
